0.64274,0.369,0.40179,0.55257,0.79258,0.1962
0.0014191,0.20835,0.40637,0.95754,0.32904,0.30385
0.030385,0.44094,0.38619,0.89283,0.22346,0.48329
0.20847,0.9562,0.6098,0.3565,0.31239,0.33781
0.45497,0.12403,0.16689,0.5464,0.58452,0.79849
0.12727,0.47076,0.18809,0.34668,0.82991,0.98749
0.0086477,0.8569,0.094629,0.6228,0.29046,0.15905
0.72708,0.04339,0.32319,0.79662,0.40255,0.23688
0.35412,0.69163,0.7696,0.74587,0.86206,0.70224
0.78045,0.97899,0.23412,0.12554,0.61474,0.37547
0.43666,0.28327,0.74037,0.82239,0.99119,0.9737
0.43655,0.13378,0.69282,0.025151,0.2037,0.97231
0.049213,0.68528,0.82408,0.41443,0.82721,0.6437
0.049632,0.90945,0.82798,0.73141,0.67586,0.8601
0.0911,0.61087,0.29337,0.78137,0.24895,0.40188
0.59404,0.89998,0.30937,0.36729,0.47579,0.63193
0.24108,0.19343,0.52303,0.74487,0.39908,0.98524
0.84137,0.75442,0.3253,0.89227,0.59944,0.55948
0.85721,0.34626,0.83184,0.2426,0.80052,0.93359
0.96361,0.41863,0.81029,0.1296,0.10507,0.72034
0.4889,0.15572,0.557,0.22507,0.82144,0.48404
0.22031,0.819,0.26296,0.35001,0.84109,0.63903
0.22621,0.62492,0.68057,0.28708,0.35451,0.88764
0.53679,0.73856,0.23365,0.92749,0.43007,0.19874
0.76211,0.80511,0.45643,0.051314,0.57224,0.39537
0.34757,0.067223,0.38457,0.59267,0.70082,0.99218
0.46123,0.95079,0.5386,0.1629,0.74247,0.40235
0.63932,0.49758,0.9917,0.83841,0.75788,0.65886
0.91734,0.75515,0.75522,0.16756,0.38913,0.90135
0.16157,0.74241,0.98045,0.5022,0.4293,0.99538
0.71564,0.83113,0.23478,0.99933,0.95634,0.65316
0.57774,0.1565,0.52856,0.35541,0.57297,0.10844
0.4333,0.45731,0.051436,0.047078,0.84972,0.036114
0.88424,0.6181,0.75688,0.21366,0.27635,0.61809
0.39305,0.93218,0.60198,0.39784,0.62232,0.56714
0.17898,0.83509,0.85717,0.33367,0.58836,0.96196
0.63333,0.89542,0.98828,0.2296,0.96347,0.74611
0.624,0.58252,0.92948,0.93612,0.085903,0.66252
0.32794,0.58275,0.40951,0.68319,0.5005,0.52331
0.80297,0.85493,0.00034146,0.96211,0.52159,0.25989
0.99948,0.034866,0.54088,0.43797,0.090166,0.96199
0.98098,0.88542,0.20773,0.94034,0.90467,0.5402
0.12704,0.40773,0.21928,0.0058343,0.88439,0.03027
0.23224,0.036382,0.32581,0.61031,0.43899,0.69631
0.023632,0.74615,0.095949,0.80108,0.78172,0.51972
0.60743,0.15483,0.74753,0.23298,0.14847,0.059031
0.11081,0.14391,0.74851,0.93247,0.61982,0.89004
0.40746,0.60596,0.5433,0.76326,0.26062,0.3302
0.88408,0.25448,0.33813,0.82645,0.44566,0.2297
0.54813,0.32415,0.83233,0.57346,0.844,0.11395
